"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","35","UnitTests.UnitTests.TestDA.ItemCartRepositoryUnitTests.TestGetItemCartById","","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ItemCartRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.ItemCartRepositoryUnitTests","UnitTests.UnitTests.TestDA.ItemCartRepositoryUnitTests.TestGetItemCartById"
"","3","UnitTests.UnitTests.TestBL.LondonMethod.UserServiceUnitTests.TestGetUserByIdFailure","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","UserService unit tests London Method","UserServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.UserServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.UserServiceUnitTests.TestGetUserByIdFailure"
"","43","UnitTests.UnitTests.TestDA.UserRepositoryUnitTests.TestGetAll","","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","UserRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.UserRepositoryUnitTests","UnitTests.UnitTests.TestDA.UserRepositoryUnitTests.TestGetAll"
"","41","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests.TestUpdate","","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ProductRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests.TestUpdate"
"","4","UnitTests.UnitTests.TestBL.LondonMethod.ProductServiceUnitTests.TestAddProductSuccess","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ProductService unit tests London Method","ProductServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.ProductServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.ProductServiceUnitTests.TestAddProductSuccess"
"","12","UnitTests.UnitTests.TestBL.LondonMethod.ItemCartServiceUnitTests.TestGetItemCartByIdSuccess","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemCartService unit tests London Method","ItemCartServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.ItemCartServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.ItemCartServiceUnitTests.TestGetItemCartByIdSuccess"
"","5","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests.TestAddItemOrderSuccess","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemOrderService unit tests London Method","ItemOrderServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.ItemOrderServiceUnitTests.TestAddItemOrderSuccess"
"","7","UnitTests.UnitTests.TestBL.LondonMethod.UserServiceUnitTests.TestRegisterFailure","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","UserService unit tests London Method","UserServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.UserServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.UserServiceUnitTests.TestRegisterFailure"
"","104","UnitTests.UnitTests.TestBL.LondonMethod.ItemCartServiceUnitTests.TestAddItemCartSuccess","Services Unit tests","Wed Dec 04 20:52:13 MSK 2024","passed","Wed Dec 04 20:52:13 MSK 2024","ItemCartService unit tests London Method","ItemCartServices Unit tests","UnitTests.UnitTests.TestBL.LondonMethod.ItemCartServiceUnitTests","UnitTests.UnitTests.TestBL.LondonMethod.ItemCartServiceUnitTests.TestAddItemCartSuccess"
"","3","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests.TestGetProductById","","Wed Dec 04 20:52:14 MSK 2024","passed","Wed Dec 04 20:52:14 MSK 2024","ProductRepositoty Unit tests","DA Unit Tests","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests","UnitTests.UnitTests.TestDA.ProductRepositoryUnitTests.TestGetProductById"
